Functional feeding group	Autotrophic prokaryotes	Autotrophic protist	Carnivorous fish	Corallivoroush fish	Endophytic green algae	Hard Coral	Herbivorous fish	Heterotrophic prokaryotes	Heterotrophic protist	Invertebrate eating fish	Mixotrophic protist	Omnivorous fish	Parasite protist	Piscivorous fish	Predator	Suspension Feeder	Suspension feeder	Symbiosis protist	Unknown
HKBea1Aug	147.024374	1931.935404	4748	0	0	16443	31740	10203.64493	1490.091645	7548	1290.988867	2263	142.7717391	0	29	711	0	165.0543478	649.0873135
HKBea1Feb	146.5406702	5990.456522	2753	11	22.85714286	14464	14838	10629.83584	1095.38896	457	971.3896501	29916	191.7391304	2	271	4563	0	810.7608696	306.1978332
HKBea1May	5343.489929	17053.80683	529	16	0	14408	3592	4044.048397	1195.42306	14588	1961.488704	12550	419.4021739	64	86	9299	0	35.92391304	16921.09201
HKBea1Nov	5553.17898	6520.546273	0	0	11.42857143	13656	4206	3622.958934	345.7832481	40864	5716.246956	3125	826.5217176	0	53	6730	0	13.64130435	1.914961637
HKBea2Aug	312.268591	1379.081367	7448	0	1.428571429	13362	19330	9930.650066	978.5837596	12387	892.7494621	5486	92.39130435	0	144	872	0	110.326087	3214.509403
HKBea2Feb	56.86397005	6519.839441	20	0	15.71428571	16153	6623	9912.729163	716.2350811	8665	784.8946535	32903	205.5434782	0	2111	7901	0	850.2717391	69.7146141
HKBea2May	5348.529958	4702.858385	716	30	2.857142857	14416	2679	4062.833201	1546.109335	456	1418.030031	43465	172.9347826	31	237	9937	0	267.6630435	856.6536606
HKBea2Nov	4070.277361	5382.309006	0	0	0	8707	314	5780.827635	657.0471015	431	5328.324961	47534	752.8804349	0	6	4867	1	10.70652174	0.489130435
HKBea3Aug	117.3670995	1876.08323	9399	0	0	17097	23773	10216.92327	1101.341645	2218	1099.127948	6420	64.61956521	0	178	954	0	98.09782609	4756.814484
HKBea3Feb	47.82608696	6024.802174	190	0	2.857142857	23539	10545	10653.86392	1738.315217	19420	849.6714266	17479	245.6521738	5	2560	2365	0	661.7934783	581.576036
HKBea3May	3486.744745	6654.356521	569	0	1.428571429	4152	704	6153.711858	1577.091858	111	1456.477033	3058	299.2391304	0	18	13275	0	237.5543478	21936.82226
