sample	pH	Temperature	Salinity	Turbidity	DO	TP	SiO3	NH3	NO2	NO3	Allphyto	EukPhyto	Cyano	HP	Network_complexity	ProkRich	ProtistRich	BenRich	FishRich	Mixotroph	Decomposer	Hard Coral	Primary producer	The primary consumers/Herbivorous fish/detritivore	The secondary consumer groups/ predator	The tertiary consumer	Unknown	Consumer	PC_sum_Phy_noTem	PC_sum_Nutrient	Both
HKBea1Aug	8.47	28.252	30.427	0.28	9.692	0.001	0.043	0.025	0.004	0.057	18724.58374	9217.140059	9473.947111	1740054.621	0.390810126	230	251	212	56	1290.988867	10203.64493	16443	2078.959778	34248.91773	14588	0	649.0873135	48836.91773	-2.524780928	-0.075966252	17733.98887
HKBea1Feb	8.21	18.643	33.555	1.954137	9.14	0.024	0.061	0	0.002	0.011	11959.54693	6825.242718	5091.262136	451188.4474	0.283462978	229	213	265	49	971.3896501	10629.83584	14464	6136.997192	21521.7461	33408	2	306.1978332	54931.7461	-1.471611972	-0.102193247	15435.38965
HKBea1May	8.18	24.175	33.807	1.01	7.639	0.037	0.052	0.005	0.146	0.038	72246.23479	7782.439987	64295.1003	560703.0917	0.276186661	190	179	220	47	1961.488704	4044.048397	14408	22397.29676	14541.74915	27769	64	16921.09201	42374.74915	-1.795879448	-0.086203745	16369.4887
HKBea1Nov	8.36	24.6895	33.0315	1.96	7.674	0	0.081	0.001	0	0.04	39230.80931	9319.173324	29852.24036	650917.0854	0.286634732	185	230	229	10	5716.246956	3622.958934	13656	12073.72525	12133.37484	44042	0	1.914961637	56175.37484	-1.031924658	-0.072190578	19372.24696
HKBea2Aug	8.43	26.916	31.43	1.77	8.515	0.008	0.058	0.032	0.001	0.057	24215.22916	14390.90581	9793.468062	1974373.361	0.383575882	282	221	250	38	892.7494621	9930.650066	13362	1691.349958	21384.72972	25465	0	3214.509403	46849.72972	-1.228882937	-0.069554655	14254.74946
HKBea2Feb	8.19	18.393	33.549	6.570119	8.839	0.003	0.058	0	0.023	0.016	5225.951904	3358.316633	1799.098196	587274.6945	0.276737498	218	175	302	32	784.8946535	9912.729163	16153	6576.703411	16311.76458	43699	0	69.7146141	60010.76458	1.983932211	-0.099737036	16937.89465
HKBea2May	8.11	24.046	33.812	2.955	7.3115	0.037	0.047	0	0.052	0.068	81441.50943	10862.26415	70347.16981	768861.3833	0.314790235	195	265	253	51	1418.030031	4062.833201	14416	10051.38834	14605.5643	44904	31	856.6536606	59540.5643	-0.288231176	-0.066252488	15834.03003
HKBea2Nov	8.37	24.465	33.02566667	2.286666667	6.908	0	0.086	0.001	0.013	0.05	43839.19739	10102.00653	33697.29351	678686.3996	0.166951088	206	204	209	9	5328.324961	5780.827635	8707	9452.586368	6602.634058	47971	0	0.489130435	54573.63406	-0.592479357	-0.06268167	14035.32496
HKBea3Aug	8.45	27.9735	30.807	2.24	8.8165	0.006	0.059	0.013	0.009	0.103	26416.96335	17010.4712	9364.712042	1812807.184	0.373682702	265	224	206	31	1099.127948	10216.92327	17097	1993.450329	25991.05904	18215	0	4756.814484	44206.05904	-0.900958417	-0.035240977	18196.12795
HKBea3Feb	8.202	18.415	33.574	1.269827	8.757	0.011	0.098	0	0.03	0.02	5888.1	4161	1715.7	549976.7464	0.259043317	217	186	249	49	849.6714266	10653.86392	23539	6072.628261	15558.61801	39649	5	581.576036	55212.61801	-1.874112381	-0.079662948	24388.67143
HKBea3May	8.155	24.049	33.812	3.21	7.294	0.037	0.079	0	0.028	0.049	82639.55348	11874.84172	70496.90103	705823.5398	0.219636006	201	261	215	36	1456.477033	6153.711858	4152	10141.10127	16094.31391	3756	0	21936.82226	19850.31391	-0.09714294	-0.06652532	5608.477033
HKBea3Nov	8.37	24.448	33.025	2.42	6.828	0	0.083	0.001	0.013	0.072	40609.61538	7707.692308	32884.61538	754327.7688	0.260372394	252	261	221	31	8746.937492	7140.621426	17284	6891.453207	13120.34339	34944	0	126.9111253	48064.34339	-0.47400595	-0.047764899	26030.93749
HKSta1Aug	8.45	28.42966667	31.01533333	3.623333333	8.351333333	0.006	0.102	0.037	0.009	0	19054.28571	11351.74603	7660.31746	1355349.851	0.339887879	241	248	309	61	1783.561736	9448.065795	22865	8330.272918	38193.34101	8745	9	2378.04329	46947.34101	0.211279448	-0.092663649	24648.56174
HKSta1Feb	7.98	18.144	33.336	0.647727	8.307	0.039	0.101	0	0	0	6786.247544	5502.907662	1263.182711	744582.6601	0.263906003	198	178	237	39	614.9555475	8675.053829	24952	4050.710513	19466.85979	33460	364	137.4731144	53290.85979	-2.187705143	-0.093186724	25566.95555
HKSta1May	7.994	23.844	33.76733333	1.216666667	7.120333333	0.034	0.081	0	0.026	0.029	77047.61585	20947.21289	55928.13969	779658.7734	0.277946777	186	227	272	55	1289.762108	6254.037047	15890	31852.82035	15174.74014	30118	888	7317.370248	46180.74014	-1.505347205	-0.080389283	17179.76211
HKSta1Nov	8.2	24.32325	33.0095	4.195	6.97	0	0.09	0.001	0.008	0.026	76443.29019	17437.80654	58900.64714	896453.7039	0.297610998	165	221	278	33	7635.11727	5321.649145	20667	9101.160899	7533.433747	40180	0	210.5217391	47713.43375	0.788829546	-0.078642676	28302.11727
HKSta2Aug	8.53	27.238	31.443	5.51	8.144	0.016	0.11	0.043	0	0	26356.30435	16096.30435	10173.26087	1959316.63	0.30960299	213	267	299	56	4177.37801	9405.720795	23164	13709.40669	33802.55858	14921	3	692.9114823	48726.55858	1.602272876	-0.089262038	27341.37801
HKSta2Feb	8.16	18.118	33.35733333	1.97	8.670333333	0.039	0.105	0	0	0	5098.909091	3951.371901	1113.619835	910448.7037	0.288811639	212	162	227	46	137.7702168	10096.88676	13673	889.4477453	34040.65896	28714	0	1985.170045	62754.65896	-1.317498403	-0.091471631	13810.77022
HKSta2May	8.14	23.85	33.7725	1.88	7.048	0.031	0.121	0.059	0.04	0.058	75156.21381	20009.66592	54552.42762	763077.4042	0.269769328	205	214	219	53	1133.88417	4909.168544	14873	37282.36931	46201.06997	8171	58	1405.808584	54430.06997	-1.001791902	-0.041871157	16006.88417
HKSta2Nov	8.27	24.238	33.0072	2.98	6.7596	0	0.102	0.012	0.01	0.028	90918.07363	17246.26255	73563.70398	1043767.322	0.235041328	255	244	216	9	4383.771516	4034.356792	21779	8196.362269	12088.26215	38464	0	4.945652174	50552.26215	-0.044744727	-0.072024387	26162.77152
HKSta3Aug	8.4567	27.72775	31.26675	2.925	8.56775	0.007	0.102	0.037	0.011	0	23503.59712	13694.2446	10126.61871	2055749.657	0.409362343	254	237	210	58	882.0361914	10002.35416	19711	1305.128624	46577.4254	3897	0	213.8382353	50474.4254	-0.381356251	-0.092666506	20593.03619
HKSta3Feb	8.135	18.0986	33.355	1.868	8.7902	0.021	0.099	0	0.002	0.004	6151.720542	4921.376434	1212.513034	934348.0676	0.236837738	185	199	261	13	629.3554378	10184.86816	15795	2333.131251	17030.49275	43356	0	0.823886369	60386.49275	-1.423154982	-0.091046817	16424.35544
HKSta3May	8.1567	23.85125	33.77475	1.395	7.142	0.036	0.068	0.031	0	0.053	93667.51017	30653.2761	62743.78671	752514.0194	0.273945242	196	210	196	55	1244.618043	3667.686808	11554	45035.08088	12641.11722	25438	49	14078.53597	38128.11722	-1.38130707	-0.068292952	12798.61804
HKSta3Nov	8.3375	24.18833333	33.02133333	4.816666667	6.703333333	0	0.1	0.027	0.005	0.027	104129.7125	19251.15815	84741.97284	1216308.823	0.246142936	223	220	259	34	10739.75845	3702.633489	15306	8388.935028	13144.73965	30267	1	196.2717391	43412.73965	1.311953487	-0.073618438	26045.75845
HKSW1Aug	8.03	26.5065	31.8985	1.355	4.7845	0.007	0.195	0.03	0.023	0.224	21553.39046	14691.72876	10639.71684	1403132.22	0.416129334	248	272	283	78	3855.887376	10746.81896	15946	3413.635702	22333.82694	25748	21	3854.156587	48102.82694	-0.606076261	0.112186337	19801.88738
HKSW1Feb	8.236	18.108	33.269	4.17	9.685	0.02	0.064	0	0	0	3870.964599	3110.100682	749.7564144	934348.0676	0.308715763	174	175	223	39	270.8861588	10091.65146	29150	2181.072181	15613.43612	29842	12	7657.083289	45467.43612	0.035796863	-0.108997042	29420.88616
HKSW1May	8.08	24.1528	33.7516	2	6.9684	0.037	0.103	0	0.052	0.104	104509.6815	30257.19745	73722.42038	1282471.609	0.181336507	183	254	256	8	2437.201163	5441.11782	16304	21792.42724	4584.105681	48545	0	7.095892238	53129.10568	-0.891135141	-0.015727033	18741.20116
