Sample	pH	Temperature	Salinity	Turbidity	DO	TP	SiO3	NH3	NO2	NO3	Allphyto	EukPhyto	Cyano	HP	Network_complexity	ProkRich	ProtistRich	BenRich	FishRich	Mixotroph	Decomposer	Hard.Coral	Primary.producer	The.primary.consumers.Herbivorous.fish.detritivore	The.secondary.consumer.groups..predator	The.tertiary.consumer	Unknown	Consumer	PC_sum_Phy_noTem	PC_sum_Nutrient	Both	EukPhyto_Normed	Cyano_Normed	HP_Normed	Both_Normed	PC_sum_Nutrient_Normed	PC_sum_Phy_noTem_Normed	Consumer_Normed	The.tertiary.consumer_Normed	The.secondary.consumer.groups..predator_Normed	The.primary.consumers.Herbivorous.fish.detritivore_Normed	Primary.producer_Normed	Hard.Coral_Normed	Decomposer_Normed	Mixotroph_Normed	FishRich_Normed	BenRich_Normed	ProtistRich_Normed	ProkRich_Normed	Network_complexity_Normed	Allphyto_Normed	pH_Normed	Tem_Normed	Salinity_Normed	Turbidity_Normed	DO_Normed	TP_Normed	SiO3_Normed	NO3_Normed
HKBea1Aug	8.47	28.252	30.427	0.28	9.692	0.001	0.043	0.025	0.004	0.057	18724.58374	9217.140059	9473.947111	1740054.621	0.390810126	230	251	212	56	1290.988867	10203.64493	16443	2078.959778	34248.91773	14588	0	649.0873135	48836.91773	-2.524780928	-0.075966252	17733.98887	96.0059376236699	-0.164726982029665	1.1006981828734	-0.236449212975649	-0.623874085525354	0.000268328156815601	0.147379807399759	0	-1.22244404383071	185.064631223797	-1.19102222561148	0.0234285756137183	1.05873688166707	-0.334081901167024	0.828328425533713	-0.829842926124748	2.39967372148104	0.565060828714552	0.377935588731221	-0.773456376391502	2.91032644217105	1.47509532970887	-1.47509532970887	-1.98874848016188	2.59913891643794	0.0316227766016838	0.207364413533277	0.238746727726266
HKBea1Feb	8.21	18.643	33.555	1.954137	9.14	0.024	0.061	0	0.002	0.011	11959.54693	6825.242718	5091.262136	451188.4474	0.283462978	229	213	265	49	971.3896501	10629.83584	14464	6136.997192	21521.7461	33408	2	306.1978332	54931.7461	-1.471611972	-0.102193247	15435.38965	82.615027192394	-0.460914688455103	-1.84237332595925	-0.595660772184788	-1.84237332595925	1.02624023893044	0.900073917281581	1.44363547517881	0.349688345307742	146.70291783056	-0.51367871534788	-0.358958455915338	1.54852757862021	-0.742236718422377	0.423620016711306	0.243555047168814	2.32837960343874	0.54201031073039	-0.255560909600223	-1.01856144722563	2.86530975637888	-1.1006981828734	0.623874085525354	-0.460914688455103	1.47509532970887	0.154919333848297	0.246981780704569	0.104880884817015
HKBea1May	8.18	24.175	33.807	1.01	7.639	0.037	0.052	0.005	0.146	0.038	72246.23479	7782.439987	64295.1003	560703.0917	0.276186661	190	179	220	47	1961.488704	4044.048397	14408	22397.29676	14541.74915	27769	64	16921.09201	42374.74915	-1.795879448	-0.086203745	16369.4887	88.2181386507333	0.409404291693752	-1.47509532970887	-0.48712715423098	-0.838287670373488	0.853757314463542	-0.650679782132107	4.85209129348869	-0.128810522255024	120.589175094616	1.05873688166707	-0.435015189800388	-0.773456376391502	0.117401297314119	0.307989042762046	-0.682502306125114	2.25285303097989	-0.35695989065193	-0.304242245406054	0.188522231522946	2.86006992921502	-0.0468700199601139	1.24005981471525	-1.05873688166707	-0.0703372513250739	0.192353840616713	0.228035085019828	0.194935886896179
HKBea1Nov	8.36	24.6895	33.0315	1.96	7.674	0	0.081	0.001	0	0.04	39230.80931	9319.173324	29852.24036	650917.0854	0.286634732	185	230	229	10	5716.246956	3622.958934	13656	12073.72525	12133.37484	44042	0	1.914961637	56175.37484	-1.031924658	-0.072190578	19372.24696	96.5358654801416	0.0234285756137183	-0.872056473119411	-0.0703372513250739	-0.567913863366517	1.22182500465492	1.05365855833321	0	1.26455531025622	110.151599352892	0.236449212975649	-0.51367871534788	-1.19102222561148	0.872056473119411	-1.83118397529925	-0.510492611317659	2.36172783601759	-0.47221248057274	-0.234593122091483	-0.188522231522946	2.89136645896019	0.460914688455103	-0.0234285756137183	-0.409404291693752	-0.0234285756137183	0	0.284604989415154	0.2
HKBea2Aug	8.43	26.916	31.43	1.77	8.515	0.008	0.058	0.032	0.001	0.057	24215.22916	14390.90581	9793.468062	1974373.361	0.383575882	282	221	250	38	892.7494621	9930.650066	13362	1691.349958	21384.72972	25465	0	3214.509403	46849.72972	-1.228882937	-0.069554655	14254.74946	119.962101557117	-0.141024652243503	1.4088534561425	-0.681860597176365	-0.51367871534788	1.13837518551662	-0.0980323058792856	0	-0.322736382536304	146.235186326684	-1.34827455335266	-0.595660772184788	0.681860597176365	-0.838287670373488	-0.212350340009621	-0.0834471761862501	2.34439227368511	1.76368776389098	0.33972716482982	-0.48712715423098	2.9034462281916	1.01856144722563	-1.19102222561148	-0.595660772184788	0.567913863366517	0.0894427190999916	0.240831891575846	0.238746727726266
HKBea2Feb	8.19	18.393	33.549	6.570119	8.839	0.003	0.058	0	0.023	0.016	5225.951904	3358.316633	1799.098196	587274.6945	0.276737498	218	175	302	32	784.8946535	9912.729163	16153	6576.703411	16311.76458	43699	0	69.7146141	60010.76458	1.983932211	-0.099737036	16937.89465	57.9509847457315	-0.906850271567411	-1.29227570553001	-0.334081901167024	-1.72730919035482	2.12337307390859	1.52731837139849	0	1.2348237437119	127.717518688706	-0.460914688455103	-0.0234285756137183	0.652593012339078	-1.01856144722563	-0.559243261857399	1.12817323651199	2.24303804868629	0.288454612904607	-0.300528425938994	-1.34827455335266	2.86181760425084	-1.40885345614249	0.595660772184788	1.4088534561425	1.01856144722563	0.0547722557505166	0.240831891575846	0.126491106406735
HKBea2May	8.11	24.046	33.812	2.955	7.3115	0.037	0.047	0	0.052	0.068	81441.50943	10862.26415	70347.16981	768861.3833	0.314790235	195	265	253	51	1418.030031	4062.833201	14416	10051.38834	14605.5643	44904	31	856.6536606	59540.5643	-0.288231176	-0.066252488	15834.03003	104.222186457587	0.540597492288002	-0.384059187903602	-0.540597492288002	-0.409404291693752	1.4955098876303	1.46924996327681	4.12739442927166	1.3393342004906	120.853482779769	0.0703372513250739	-0.409404291693752	-0.742236718422377	-0.164726982029665	0.539250990660565	-0.019509674070009	2.42324587393681	-0.24170730073112	-0.0549253314281818	0.409404291693752	2.84780617317963	-0.284925871484392	1.31975782205637	0.0234285756137183	-0.435015189800388	0.192353840616713	0.216794833886788	0.260768096208106
HKBea2Nov	8.37	24.465	33.02566667	2.286666667	6.908	0	0.086	0.001	0.013	0.05	43839.19739	10102.00653	33697.29351	678686.3996	0.166951088	206	204	209	9	5328.324961	5780.827635	8707	9452.586368	6602.634058	47971	0	0.489130435	54573.63406	-0.592479357	-0.06268167	14035.32496	100.50873857531	0.0703372513250739	-0.711724304934519	-0.711724304934519	-0.384059187903602	1.39007253156085	0.85584809059341	0	1.6060726191094	81.2565939355078	0.0234285756137183	-0.838287670373488	-0.284925871484392	0.742236718422377	-1.88899946227388	-0.883745794530977	2.3096301674259	0.0118483970946625	-1.14537191571397	-0.0468700199601139	2.89309522829789	0.236449212975649	-0.0468700199601139	-0.164726982029665	-1.05873688166707	0	0.293257565972304	0.223606797749979
HKBea3Aug	8.45	27.9735	30.807	2.24	8.8165	0.006	0.059	0.013	0.009	0.103	26416.96335	17010.4712	9364.712042	1812807.184	0.373682702	265	224	206	31	1099.127948	10216.92327	17097	1993.450329	25991.05904	18215	0	4756.814484	44206.05904	-0.900958417	-0.035240977	18196.12795	130.424197141481	-0.188522231522946	1.19102222561148	-0.212424721425842	-0.0703372513250739	1.27429297377016	-0.424518176933153	0	-0.925761183093007	161.21742784203	-1.24005981471525	0.0938432875965484	1.1006981828734	-0.623874085525354	-0.617058748832029	-0.936911783977387	2.35024801833416	1.37182895816022	0.286516311166645	-0.334081901167024	2.90688837074973	1.24005981471525	-1.34827455335266	-0.188522231522946	0.9427781453451	0.0774596669241483	0.242899156029822	0.320936130717624
HKBea3Feb	8.202	18.415	33.574	1.269827	8.757	0.011	0.098	0	0.03	0.02	5888.1	4161	1715.7	549976.7464	0.259043317	217	186	249	49	849.6714266	10653.86392	23539	6072.628261	15558.61801	39649	5	581.576036	55212.61801	-1.874112381	-0.079662948	24388.67143	64.5058136914806	-0.979966199017402	-1.54852757862021	0.48712715423098	-0.773456376391502	0.806640328151277	0.93476080581299	2.31243834127275	0.884832361973613	124.73418941894	-0.540597492288002	1.1006981828734	1.72730919035482	-0.9427781453451	0.423620016711306	-0.10459700376798	2.26951294421792	0.265404094920445	-0.422219050341285	-1.29227570553001	2.86391340651215	-1.19102222561148	0.652593012339078	-0.838287670373488	0.805448787936385	0.104880884817015	0.313049516849971	0.14142135623731
